LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
sasgo;dévier;VIA
sasiije;aminaux sauvages très mèchants;NCP
sasvuuji;lignes;NCP
sasvuwol;ligne;NCS
sasvuwol;rangée;NCP
Sa'tango;etre dur;VIA
savaago;défricher un champ;VIM
savgo;sourdre;VIA
savorgo;houer;NCS
savvaare;drap;PPS
savvitaago;faire claquer sa langue;VIM
savvitaango;claquement de la langue;PPS
savvo;lit;PPS
savvugo;étendre quelque chose;VIA
sawaago;etre un intrus;VIM
sawaago;etre dérangé;VIM
sawaago;etre embarrassé;VIM
sawari;conseil démander à quelqu'un;U
sawari;consultation;U
sawlugo;uriner;VIA
sawnaago;etre ambarrassant;VIM
sawnaare;chose embarrassante;PPS
sawnaare;embarras;PPS
sawoora;jaune;U
sawoora;jaunisse;U
sawoora;vomissement;U
sawru;baton;NCS
sawru;canne;NCS
sawtu;bruit forte;NCS
sawtu;voie forte;NCS
sawtugo;déplier;VIA
sawyaasaw;en mauvais termes;U
sawyaasaw;en brouille;U
sawyaasaw;en bisbille;U
sazakusel;libellule;NCS
sazango;etre en difficulté ;VIA
sazawre;lèpre;NCS
sazeende;difficulté;NCS
sazgo ;etre en difficultés;VIA
Sazingo;devenir lèpreux;VIA
Sazirma;difficulté;U
sazooje;herbes de marécage;NCP
sazooji;marécages;NCP
sazoore;herbe marécage;NCS
sazoowol;marécage;NCS
saybango;convoiter pour quelqu'un;VIA
saybugo;desirer ardemment;VIA
saybugo;convoiter;VIA
saydaago;etre martyr;VIM
saye;jaune dorée;NCS
saylaabve;betes;NCS
saylaave;peu intelligent;NCS
sayleego;etre bete;VIP
sayleego;idiot;VIP
sayloraago;devenir bete;VIM
saylugo;rendre bete;VIA
saysayzo;araignée;PPS
saytitgo;se dorer;VIA
sayzaanu;satan;U
sayzitgo;jaunir;VIA
sayzugo;etre en jaune dorée;VIA
sazaaji;sytème pileux du visage;NCP
saqalde;porc épis;NCS
saqqeere;campement militaire;NCS
saqgaago;etre responsable;VIM
saqgingo;confier à quelqu'un la responsabilité de;VIA
saqgitaago;etre ainsi énerver;VIM
saqgitaare;réaction brutale après avoir été agacé;PPS
saqgitgo;énerver;VIA
saqgitgo;agacer;VIA
saqgitgo;provoquer une reaction brutale;VIA
saqkara;durcissement d'un fruit;U
saqkitaago;se disperser;VIM
saqkitgo;disperser;VIA
sañsañzo;araignée;NCS
saqqinaago;camper;VIM
saqqinaago;établir un campement;VIM
saqqingo;camper;VIA
saqqingo;établir un campement;VIA
seevoore;source;NCS
seedaago;témoigner;VIM
seedamjooraaku;faux témoignage;NCS
seedango;témoigner en faveur de;VIA
seedgo;séparer;VIA
seedommaaku;témoignage;NCS
seefango;nommer;VIA
seefango;désigner;VIA
seefeene;ration;NCP
seefnugo;rationner;VIA
seekgo;fendre le bois;VIA
seekgo;tailler le bois;VIA
seehuu'en;saints personnages;NCP
seehuujo;saint personnage;NCS
seekango;déchirer pour quelqu'un;VIA
seekango;fendre pour quelqu'un;VIA
seekgo;déchirer;VIA
seeko;moitié;NCS
seektaago;déchirer;VIM
seektaago;couper;VIM
seelgo;découper en lanières;VIA
seeltaago;etre svelte;VIM
seemde;biceps;NCS
seergo;répudier;VIA
seergo;se separer de sa femme;VIA
seergo;divorcer;VIA
seereego;etre répudié;VIP
seereego;divorcée;VIP
seereehi;arbre;NCS
seereeji;arbres;NCP
seerre;cauri;NCS
seersernoove;qui divorces constament;NCP
seesaago;aller lentement;VIM
seese-seese;doucement;ID
seesi;doucement;ID
seesi;lentement;ID
seesi;un peu;ID
seesi-seesi;doucement;ID
seetinaango;appel à la prière;PPS
seetingo;appeler à la prière;VIA
seeto;période des grandes tornades;AVT
seettaago;intercéder;VIM
seevaago;etre supérieur;VIM
seewaaku;proprété;NCS
seewaaku;hygiène;NCS
seezgo;passer à la saison chaude;VIA
sefre;troupeau;NCS
sehgo;fendre le bois;VIA
sehzingo;rendre vide;VIA
sehzugo;etre vide;VIA
sekgo;penser;VIA
sekgo;douter;VIA
seko;doute;PPS
sekooji;doutes;PPP
sektaago;douter de toutes ses forces;VIM
sektaago;hesiter à faire;VIM
selgo;former un embranchement;VIA
sella ;air;U
sella ;atmosphere;U
sellita-nofel;quatrième aieul;NCS
sellita-nofel;arriére arriére arrière grand parent;NCS
sellita-nofel;arriére arriére arrière petit fils;NCS
sellitgo;detacher les épilets d'une tige de sorgho;VIA
sello;épillet;NCS
sellugo;séparer;VIA
sellugo;écarter quelqu'un;VIA
semaa'en;borgnes;NCP
semteende;reserve;Pas
semteego;etre respecté;VIP
semteende;retenue;PPS
semteende;discrétion;PPS
semtindirgo;avoir du respect l'un pour l'autre;VIA
semtoove;reservées;PPP
semtugo;avoir de la retenue;VIA
semtugo;avoir de la discretion;VIA
semtugo;avoir de la pudeur;VIA
semmbe;force;NCS
semmbe;vigeur;NCS
semmbe;fertilité;NCS
semmbeeji;forces;NCP
semmbeeji;fertilités;NCP
semmbeeji;vigeurs;NCP
semmbizingo;fortifié;VIA
semmbizingo;donner de la force;VIA
senaago;etre propre;VIM
sengo;rendre propre;VIA
sengo;sanctifier;VIA
senuye;propreté;PPS
senuye;saintété;PPS
senuyeere;propreté;PPS
senuyeere;saintété;PPS
senndindirgo;faire la difference;VIA
senndindirgo;distingué;VIA
senndugo;partager;VIA
senndugo;distribuer;VIA
septembir;septembre;U
sera;bord;U
sera;bordure;U
sera;danger;U
seraaji;dangers;NCP
sermaajo;borgne;PPS
sermaaku;etat de borgne;PPS
sernugo;presenter les dangers;VIA
sernugo;etre dangereux;VIA
sersernugo;divorcer constamment;VIA
settango;tailler en pointe pour quelqu'un;VIA
settewal;caravanier;NCS
settugo;rendre pointu;VIA
settugo;tailler en pointe;VIA
settugo;appointer;VIA
sevitto;extreme;PPS
sevitto;limite;PPS
sevitto;extremité;PPS
sevitingo;etre placé au bord;VIA
sevre;frangment décorce;PPS
sewgo;etre mince;VIA
sewgo;mince;VIA
sewtingo;rendre mince;VIA
sewtingo;amincir;VIA
sewtugo;devenir mince;VIA
sewtugo;etre aminci;VIA
sezango;tamiser pour quelqu'un;VIA
sezgo;tamiser;VIA
sezza;un peu;AVM
sey;sauf;U
sey;excepté;U
sey;seulement;U
sey;si ce n'est;U
seyaago;etre heureux;VIM
seyaago;etre content;VIM
seyanaago;féliciter;VIM
seyo ;joie;PPS
seyo ;gaiété;PPS
sezaago;etre émmanché;VIM
sezgo;émmancher;VIA
seztaago;etre démancher;VIM
seztugo;enlever la manche;VIA
sibbere;restant liquide;NCS
sibbitaago;puiser l'eau qui vient lentement;VIM
sicci-siccingo;avoir envie de vomir constament;VIA
sicco;nausée;PPS
siccugo;avoir la nausée;VIA
sidgo;etre humide à la base;VIA
sifa;apparence;U
sifa;aspect;U
sifaago;décrire;VIM
sifaago;expliquer;VIM
sifaago;qualifier;VIM
sifnaago;décrire à quelqu'un;VIM
siftoraago;se souvenir;VIM
siftorgo;se rappeler;VIA
siga;garde;NCS
siga;reserve;NCS
sigaago;mettre à coté;VIM
sigaago;garder;VIM
sigaago;conserver;VIM
sigaaji;gardes;NCP
sigaaji;reserves;NCP
siganaago;garder pour quelqu'un;VIM
sigordu;case ou on met les objets de reserve;PPS
siido;plaisanterie;NCS
siidooji;plainsanteries;NCP
sii'go;suinter;VIA
sii'go;fuir;VIA
sii'go;perdre;VIA
siikataare;sorte de hache à pic;NCS
siikgo;pousser un cri aigu;VIA
siikgo;sonner;VIA
siikgo;crier;VIA
siilde;milan noir;NCS
silvaago;se fouler;VIM
silvaago;se luxer;VIM
siixgo;etre pleine;VIA
siiraago;jeter un  sort sur quelqu'un;VIM
siiroove;sorciers;PPP
siirtugo;arracher à lambeaux;VIA
siiri;mauvais sort;U
siisiyel;cinquante centimes;NCS
siitango;traire le reste de lait pour quelqu'un;VIA
siivaago;aspirer;VIM
siivango;bruit d'aspiration;VIA
siiwaago;maigrir constament;VIM
siiwgo;verser lentement;VIA
siiwnugo;colorer par contact;VIA
siiwzugo;etre rayé;VIA
siiqgo;etre trop sec;VIA
siiqgo;manquer d'eau;VIA
sikaare;marmite;NCS
sikaare;casserole;NCS
sikay;mais;U
sikay;cependant;U
sikee;attention;I
sikrugo;etre ivre;VIA
sil'a;préparatifs;U
sil'a;marchandises;U
silaama;islam;U
silaaru;terrain délimité;NCS
silaaru;repère;NCS
silaaru;délimitation;NCS
silaawo;panier;NCS
silaawo;corbeille;NCS
silango;dépeçer pour quelqu'un;VIA
silango;délimiter pour quelqu'un;VIA
silannde;depeçage;PPS
silvugo;povoquer une entorse;VIA
silgo;débiter;VIA
silgo;découper;VIA
siliiki;soie;U
sillirde;méat urinaire;PPS
silloove;ceux qui urine;PPP
sillugo;uriner;VIA
sillugo;pisser;VIA
silminaago;saluer;VIM
silminaango;une telle salutation;PPS
silmugo;se convertir à l'islam;VIA
silvere;luxation;PPS
silvere;entorse;PPS
silvere;foulure;PPS
silvugo;luxer ;VIA
simaaki;mansion lunaire;NCS
simarru;auriculaire;NCS
simmaago;se diriger vers;VIM
simtiraango;profession de foi islamique;PPS
simtirgo;reciter la profession de foi islamique;VIA
simtugo;couler goutte à goutte;VIA
simtugo;suiter;VIA
sinaa;si ce n'est;P
sinik ;trèfle;U
sini-sini;nouvelle imprecise;NCS
sintaliiji;récipient métalique;NCS
sintaliiru; recipient métalique;NCS
sinndalaare;enclume;NCS
sinndango;attacher par paire pour quelqu'un;VIA
sinndugo;attacher par paire;VIA
sippoove;détaillants;PPP
sippugo;vendre au détail;VIA
siraataajo;kanouri;NCS
siralleere;caillou gris;NCS
sirango;enlever les écorces pour quelqu'un;VIIA
sirfugo;demander un service à quelqu'un;VIA
sirfuku;commission;NCS
sirfukuuji;commissions;NCP
sirgitaago;etre sur le point de;VIM
sirgizgo;etre taché;VIA
sirgo;enlever l'ecorce d'une arbre;VIA
sirku;idolatre;U
sirkugo;etre idolatre;VIA
sirlaago;mettre un pantalon;VIM
sirlayel;cullotte;PPS
sirlitaago;enlever son pantalon;VIM
sirxirde;écartement anormale des dents;PPS
sirxugo;recracher;VIA
sirri;secret;U
sirriiji;secrets;NCP
sirritgo;reveler un sécret ;VIA
sirvitaago;lisser;VIM
sirwaago;se taire;VIM
sirwingo;faire taire;VIA
sirworaago;rester muet;VIM
sirya;préparatifs;U
siryaago;se preparer;VIM
siryanaago;se preparer à;VIM
sittaare;poivre;NCS
sittaare;piment;NCS
siwaakeehi;arbuste de brousse;NCS
siwaakeeji;arbustes de brousse;NCP
siwaakeewal;branche d'une arbuste de brousse;NCS
siwtaago;se reposer;VIM
siwtaare;repos;PPS
siwtoraandu;mois de repos;NCS
sizaago;copier;VIM
sizaago;imiter;VIM
sizootirgo;s'imiter ;VIA
sizootirgo;se copier mutuellement;VIA
siqkango;se plaindre auprès de quelqu'un;VIA
siqkitaago;se plaindre;VIM
siqkugo;se plaindre;VIA
siqkunde;plainte;PPS
siqqinaago;montrer les dents;VIM
siqqingo;faire montrer ses dents;VIA
sobtaago;échapper à;VIM
sobtaago;depasser;VIM
sobtaago;distancer;VIM
soccaago;avoir pour la premiére fois une relation sexuelle;VIM
soccoonde;terre dépourvu d'herbes;PPS
sodgo;couper;VIA
sodgo;recolter;VIA
sodkaago;pénétrer;VIM
sodkugo;faire pénétrer;VIA
soodgo;acheter;VIA
soodgo;vendre;VIA
sofeejo;très attentif;NCS
sofe'en;très attentifs;NCP
sofgo;retirer quelqu'un;VIA
sofndaago;parler à voix basse;VIM
sofndaago;chuchoter;VIM
sofndaango;chuchotement;PPS
soggugo;conduire des betes;VIA
sohaago;tousser;VIM
sohaaru;toux persistant;PPS
sohgo;faire tousser;VIA
so'itaago;faire demi tour;VIM
sukaajo;jeune homme;NCS
sukaave;jeunes hommes;NCP
sukaayel;jeune homme;NCS
sokgo;faire entrer;VIA
sokgo;introduire;VIA
sokkitaago;se disjoindre;VIM
sokkitaago;se disloquer;VIM
sokkugo;tasser;VIA
sokkugo;concerner;VIA
sokoliire;panier;NCS
solango;etre attache a qq.ch., aimer;VIA
solgo;tomber;VIA
solgo;etre avare;VIA
soltugo;avorter;VIA
somgo;etre fatigué;VIA
somlaago;etre flètri;VIM
somlugo;flétrir;VIA
sommingo;etre envieux;VIA
sommitorgo;désir ardent;VIA
sommitorgo;convoiter;VIA
sommu;cupidité;NCS
sommumaajo;envieux;NCS
sompingo;etre ventru;VIA
sompingo;corpulent;VIA
sompo;sein maternel;NCS
sompoode;corpulence;NCS
sonaa;sauf;P
sonaa;si ce n'est;P
sonaa;sauf;P
sonaago;arriver;VIM
songo;faire arriver;VIA
soñvugo;bruire;VIA
sonndaago;tousser;VIM
sonndaaru;bronchite;PPS
sonndugo;faire tousser;VIA
soobaajo;camarade;NCS
soobaaku;amitié;NCS
sooba'en;camarades;NCP
soobiraawo;camarade;NCS
soobriraave;camarades;NCP
soobrugo;etre l'ami de;VIA
sooda-sootaajo;revendeur;NCS
sooda-sootta'en;revendeurs;NCP
sood-soodnugo;acheter constament;VIA
soofgo;etre mouillé;VIA
soofgo;dissumulation;VIA
sooje;militaire;NCS
sooje;policier;NCS
sooje;soldat;NCS
"sooje""en";policiers;NCP
sooje'en;militaires;NCP
sooje'en;soldats;NCP
sookali;cuillière;NCS
sookaliiji;cuillières;NCP
sookto;brouhaha;NCS
sooktooji;bouhahas;NCP
sooktugo;faire du bruit;VIA
sookzingo;vider;VIA
sookzugo;nu;VIA
sooloondu;grande herbe;NCS
soomoore;surnom;NCS
sooñgo;manquer d'eau (terrain);VIA
soo'o;grande herbe;NCS
soo'oji;grandes herbes;NCP
sooynde;manque de, privation de, absence de;PPS
soorooji;maisons rectangulaire;NCP
soorowol;maison rectangulaire;NCS
soortaago;s'échapper;VIM
soosey;parfaitement;U
soosgo;suinter;VIA
sootugo;revendre,  racheter (un captif, un esclave), payer la rancon.;VIA
soovgo;prendre le sein;VIA
soovgo;teter la mamelle;VIA
soozamzameejo;qui se mèle des affaires des autres;NCS
soozamzame'en;qui se mèles des affaires des autres;NCP
sooygo;manquer de, etre denue de, etre depourvu de;VIA
soppaago;couper;VIM
soppaago;tailler;VIM
soppinaago;etre accroupi;VIM
soppitaago;couper;VIM
sordude;lieu ou se fait le soro;NCS
sorkaago;s'etouffer;VIM
sorkinaago;aspirer par le nez;VIM
sorkugo;passer de travers;VIA
sorminaago;redouter;VIM
soro;inititiation;NCS
soro;bastonade;NCS
sortugo;sortir;VIA
sortugo;castrer;VIA
sosvaago;sortir de l'interieur;VIM
sotoore;plaie persistante;NCS
sottugo;décortiquer;VIA
suwaare;dialecte arabe choua;NCS
sovgo;etre mal propre;VIA
sovvundu;coude;NCS
sowgo;plier par le millieu;VIA
sozaago;prendre par à, se meler a (une conversation).;VIM
sozgo;introduire une tige de;VIM
soyli-soylingo;sursauter constament;VIA
soqgoliire;miséreux, gueux, va-nu-pieds.;NCS
soqkugo;etre terminé;VIA
soqngugo;voler;VIA
soqsoqtugo;errer en quête de nourriture/ errer, aller ça et la sans but precis;VIA
setteeje;caravaniers;NCP
su'aago;se rafraichir;VIM
subaha;l'aube;U
subeyji;clotures;NCP
subeywol;cloture;NCS
suddaago;se couvrir ;VIM
suddaago;porter le deuil de son mari;VIM
suddaare;drap;PPS
suddaare;couverture;PPS
sudditaago;se découvrir;VIM
sudditaago;se cesser le deuil;VIM
suddugo;couvrir;VIA
sufgo;ceuillir;VIA
suftere;embryon;NCS
suftere;fœtus;NCS
suftugo;retirer;VIA
sujidirde;endroit ou l'on se prosterne;PPS
sujidgo;se prosterner;VIA
sukaago;devenir serviteur;VIM
sukaaku;jeunesse;NCS
sukkaago;s'enfoncer dans l'eau;VIM
sukkar;sucre;U
sukkilaaye;vache donnée par les parents ;PPS
sukkilgo;donner du bétail;VIA
sukkitaago;etre débouché;VIM
sukkitgo;déboucher;VIM
sukkugo;boucher;VIA
sukla;occupation;U
suklitaago;n'etre plus occupé;VIM
suklugo;occuper;VIA
suknugo;lancer à la poursuite de;VIA
sukzugo;devenir jeune homme;VIA
sulaago;prendre comme concubine;VIM
suleyre;pièce de monnaie;NCS
suleymanu;salomon;NP
suleymanu;nom propre d'un homme;NP
sulhu;réconcialiation;U
sulkitaago;faire tomber dans un  trou peu profond;VIM
sulkugo;tremper;VIA
sulmannde;lavage de visage;PPS
sulusaani;les deux tiers;U
sulusu;un tiers;U
suumaye;mois du jeune;U
suumgo;bruler;VIA
summumaa'en;envieux;NCP
sumnaago;porter un tel turban;VIM
sumpitango;trouer;VIA
sumpitango;percer;VIA
sumpitango;trouer pour quelqu'un;VIA
sumpitannde;endroit troué;PPS
sumpitgo;percer;VIA
sumpitgo;trouer;VIA
sumre;brulure;NCS
sumsinaago;faire l'important;VIM
sumsinaare;attitude de celui qui fait l'important;PPS
sumsingo;avoir de la majesté;VIA
sumsum;majesté;U
sumsum;dignité;U
sumsumkooji;moustaches;NCP
sumsumkoowol;moustache;NCS
suumtugo;etre le premier a, commencer;VIA
sunaago;etre triste;VIM
sunan;odeur corporelle déplaisante;U
sunan'en;qui sents mauvais naturellements;NCP
sunanjo;qui sent mauvais naturellement;NCS
sungo;causer du chagrin;VIA
sunna;tradition islamaique;U
suññugo;bruler;VIA
suunde;trafic clandestin;NCS
sonndu;oiseau;NCS
sunndukji;boites;NCP
sunndukru;boite;NCS
sunndukru;caisse;NCS
sunndukji;caisses;NCP
suppitgo;enlever un peu de;VIA
suppugo;donner un coup de bec;VIA
suxeere;tas de mauvaises herbes et de broussailles;NCS
suymitaago;apparaitre à l'improviste;VIM
suyre;bosse;NCS
suraago;rester enfermée;VIM
suraango ;foudre;NCS
suurawol;chapitre du coran;NCS
surbaajo;jeune prete à marier;NCS
surga;travail communautaire;NCS
surgaaji;travaux communautaires;NCP
surgo;retenir chez soi;VIA
surifa;étoile de constellation du lion;U
suuritaago;se devetir;VIM
surngilgo;menacer;VIA
surtaago ;cesser d'etre garder à l'interieur;VI
surwugo;se hisser;VIA
susgo;flairer;VIA
sutaago;regarder fixement;VIM
su'tugo;rafraichir;VIA
sutura;toute sorte de vetement;U
suturaaji;toutes sortes des vetements;NCP
suubata;pique;U
suudu;case;NCS
suukaago;partir définitivement;VIM
suukugo;renvoyer;VIA
suukugo;chasser;VIA
suumaago;jeuner;VIM
suumayeere;jeune;PPS
suumtaago;casser le jeune;VIM
suuno;cupidité;NCS
suuno;désir intense;NCS
suundu;petit carnivore;NCS
suura;dessein;U
suura;gravure;U
suura ;photographie;U
suuraago;se vetir;VIM
suuraago;revetir;VIM
suuraaji;desseins;NCP
suuraaji;chapitres du coran;NCP
suurgo;fumer;VIA
suurgo;habiller;VIA
suuritaago;se déshabiller;VIM
suurnugo;provoquer de la fumée;VIA
suurtugo;etre très chaud;VIA
suurungo;commencer à pousser;PPS
suururo;son melé d'un peu de farine;NCS
suurzingo;dessiner;VIA
suusgo;etre courageux;VIA
suutaago;découvrir;VIM
suutaago;trouver;VIM
suuzaago;se cacher ;VIM
suuzingo;encourager;VIA
suuztugo;découvrir;VIA
suuygo;amorcer une descente;VIA
suvavre;tache d'huile;NCS
suvavre;tache de la peau;NCS
suvgo;choisir;VIA
suvi-suvi;élection;NCS
suvtango;choisir pour quelqu'un;VIA
suwa'en;arabes choua;NCP
suwaajo;arabe choua;NCS
suzgo;donner de beaux vetement;VIA
suqku;cinq francs;U
taa;nom arabe de la lettre t;U
taabal;table;U
taadaago;se ceintre la taille;VIM
taadngal;équipement militaire;PPS
taadorgol;ceinture;PPS
taagama;amble;U
taahirnaago;etre lent;VIM
taajaago;chercher;VIM
taakaago;etre appliqué à;VIM
taakiyaare;chant de louange;NCS
taaku;souffrance;NCS
taaku;douleur;NCS
taalaago;se cacher ;VIM
taalgo;raconter;VIA
taalol;conte;PPS
taalol;fable;PPS
taalol;histoire;PPS
taamgo;provoquer ce geste;VIA
taamlugo;etre en retard;VIA
taannugo;etre grand père;VIA
taaraago;faire le tour;VIM
taargo;entourer;VIA
taariha;histoire;U
taarihaaji;histoires;NCP
taarootirgo;se mettre d'accord;VIA
taartaago;quitter son pagne;VIM
taasaago;marcher à grand pas;VIM
taasannde;enjambée;PPS
taasanze;enjambées;PPP
taasawo;tasse;NCS
taaskaago;ne pas oublier;VIM
taaskaare;mémoire;PPS
taaskanaago;preparer quelque chose pour quelqu'un;VIM
taaskara;préparation;PPS
taaskitaago;se preparer;VIM
taazeenga;lenteur;PPS
taazgo;etre lent;VIA
taaygo;etre lent au travail;VIA
taba'aaji;feuilles de papiers à écrire;NCP
taba'aawol;feuille de papier à écrire;NCS
tabaago;etre éternel;VIM
tabaahi;tabac;NCS
tabaaje;tabacs;NCP
tabadi;30ème jour d mois lunaire;U
tabire;permanence;NCS
tabirre;existence;NCS
tabitingo;établir solidement;VIA
tabitgo;etre stable;VIA
ta'cugo;decouper en petits morceaux;VIA
tandawje;taros;NCP
tafaago;etre bien formé;VIM
tafango;ébaucher pour quelqu'un;VIA
tagge;bobines;NCP
taggere;bobine;NCS
taggitgo;dérouler;VIA
taggugo;rouler ;VIA
tagoowo;créateur;PPS
tahannde;lechage;PPS
tahgo;lecher;VIA
tahri;cire d'abeille;NCS
takazamaaku;pingrerie;NCS
takay;sauce;U
takdi;créature;PPS
takgo;préparer la sauce;VIA
takkaago;etre collé fixe;VIM
takkaande;viande mise en reserve ;PPS
takkango;fixer;VIA
takkeego;être fixer;VIP
takkitgo;se détacher;VIA
takkitgo;décoller;VIA
takkugo;fixer;VIA
takkugo;presque;VIA
taknugo;soufrir;VIA
talakaaku;pauvreté;NCS
talakaaku;misère;NCS
talakakaajo;pauvre;NCS
talgo;aligner;VIA
talgo;battre une lame;VIA
talkizingo;rendre pauvre;VIA
talkizingo;appauvrir;IA
talkumooje;coins;NCP
talkumooje;angles;NCP
talkumoore;coin ;NCS
talkumoore;angle;NCS
tallaago;se vautrer;VIM
tallugo;rouler un objet;VIA
talnaago;etre désarçonné;VIM
talnaago;tomber de cheval;VIM
talnugo;désarçonner;VIA
taltaltugo;chanceler;VIA
taltalzi;petits travaux;NCP
talti-talti;parfois;AVT
tamaago;etre spherique;VIM
tamam;achévé;U
tamarooje;dattes;NCP
tamaroore;datte;NCS
tamgo;fermer;VIA
tammaago;penser;VIM
tammanaago;esperer qelqe chose de quelqu'un;VIM
tammunde;espoir;PPS
tamnugo;verser un liquide dans le nez;VIA
tampere ;afflaiblir;PPS
tampingo;épuiser;VIA
tampugo;etre en mauvais état;VIA
tamsugo;cire des galettes;VIA
tamnditgo;lacher prise;VIA
tanagaaji;bidons métaliques;NCP
tanagaaru;bidon métalique;NCS
tango;demander;VIA
tanne;savoniers;NCP
tanni;savonier;NCS
tanvaliire;boulette;NCS
tanvaliije;boulettes;NCP
tapaaje;rochers;NCP
tapaare;rocher;NCS
tapiije;tapis;NCP
tapiire;tapis;NCS
tappango;frapper;VIA
tappirde;bois utulisés pour taper;PPS
tappirgal;bois utulisé pour taper;PPS
tappugo;frapper;VIA
tappugo;battre;VIA
taxaago;couper la route;VIM
taxango;couper pour;VIA
taxgo;couper;VIA
taxgo;etre très liquide;VIA
taxnoowo;passeur;PPS
taxere;morceau;PPS
taxere;diarhée;PPS
taxtaaji;séparations;PPP
taxtawol;séparation;PPS
tarbi'a;éducation;U
targo;poursuivre;VIA
tasa;gare routière;U
tasbirji;chapelets;PPP
tasbirwol;chapelet;PPS
tasbugo;égrener son chapelet;VIA
tati;trois;NUS
tattaase;gros piment;U
tattuuje;petits pagnes;NCP
tattuure;petit pagne;NCS
tatvingo;etre le troisième;VIA
tavaago;receuillir dans une calebasse;VIM
tavorde;calebasse;PPS
tavorze;calebasses;PPP
tavtindaago;repeter des phrases que l'on ne comprend pas;VIM
tavvitaago;happer;VIM
tawdugo;trouver ensemble;VIA
tawgo;trouver;VIA
tawon ;pour le moment;AVT
tawreeta;pentateuque;U
tawtugo;retrouver;VIA
tazaago;se tapir;VIM
tandawre;taros;NCS
taynirgo;éclaircir;VIA
tazalaaje;hanches;NCP
tazalawal;hanche;NCS
tazkirgal;lissoir;PPS
tazkirgal;lissoir;PPS
tazkol;dallage;PPS
tazkol;terasse;PPS
tazkugo;battre le sol;VIA
tebbitaago;saisir;VIM
teddeenga;poids;PPS
teddingo;alourdir;VIA
teddinoraago;etre célèbre;VIM
tedditinaago;se glorifier;VIM
teddugo;etre lourd;VIA
teebur;table;U
teeburji;tables;NCP
teedgo;pleurer bruyament;VIA
teeku;paon;U
teeku;atlantique;U
teema;peut etre;AVT
teemingo;etre centenaire;VIA
teerizziraawo;épouse;NCS
teetaago;se detacher;VIM
teete;à petit pas;U
teetu;pauvreté;NCS
teenugo;ramasser du bois;VIA
teewu;viande;NCS
teewuuji;viandes;NCP
tefgo;chercher;VIA
tefindaago;examiner;VIM
tekkeenga;épaisseur;PPS
tekkere;tortillon;PPS
tekkugo;tortiller;VIA
telaago;etre inclinée;VIM
telñitaago;déborder;VIM
telvugo;pousser un cri;VIA
temerrewol;billet de cinq cent francs;NCS
temvinaare;nudité;PPS
teppere;talon;NCS
teppitingo;arriver immédiatement;VIA
terere;commerce;U
tergal;membre;NCS
teroowo;commerçant;NCS
tesande;trou;PPS
tesgo;s'user;VIA
testaago;se percer;VIM
testesnugo;s'user;VIA
teteki;intestins;NCP
tetekol;intestin;NCS
te'te'tirgo;etre unis ;VIA
tevgo;ceuillir;VIA
tevtorze;pustules sur les babines;NCP
tevtugo;égrener;VIA
teqgo;tirer fortement;VIA
tibbinaago;se dresser;VIM
tibbingo;faire se dresser;VIA
tibbitinaago;se retirer de;VIM
tibistinaago;faire un gros éffort;VIM
tigaago;se dresser;VIM
tiifre;grande taille;NCS
tiigaago;s'appuyer;VIM
tiigaare;partie du corps au dessus des cotes;NCS
tiimeelo;sourcils;NCS
tiimgo;regarder d'en haut;VIA
tiimtiimnugo;regarder;VIA
tiinanaago;s'appliquer à;VIM
tiitgo;couvrir un toit;VIA
tiitol;toit de paille;PPS
tiizal;courage;PPS
tiinde;front;PPS
tiizgo;durcir;VIA
tijaaraaku;commerce ambulant;NCS
tijjaago;regarder en haut;VIM
timmingo;terminer;VIA
timmitingo;terminer enfin;VIA
timmoode;fin;PPS
timotimoongal;arc-en-ciel;NCS
timxitaago;faire la moue;VIM
tinaago;obtenir;VIA
tinaxe;obtention;U
tinndingo;expliquer;VIA
tippaago;lancer une flèche en l'air;VIM
tipunde;un petit moment;PPS
tireedaaku;commerce ambulant;NCS
tirgo;tendre fortement;VIA
tiriiwal;puisette;NCS
titir;voilemment;ID
tizzingo;raffermir;VIA
tizzugo;tasser;VIA
tiiqaade;coussin;NCS
sonaa;si ce n'est;AVT
toggitaago;recommencer;VIM
toggohon;chemises;NCP
toggoore;longue tunique à longue manche;NCS
toggoyel;chemise;NCS
to'go;souffrir;VIA
tokkaago;suivre;VIM
tokke;troupeaux ;NCP
tokkere;toupeau;NCS
tokkitaago;suivre de nouveau;VIM
toktaago;retrancrire;VIM
toldu;coin;NCS
tolgo;écarter;VIA
tollitgo;refaire la paire;VIA
tollizgo;etre dépareillé;VIA
tolooje;rives;NCP
toloore;rive;NCS
tolotol;dinde;NCS
tolotolo;dindon;NCS
tommizgo;etre court et mince;VIA
tonaa;sauf;P
tonaa;si ce n'est;P
toñxe;muselière pour veau;NCP
tooke;venin;NCP
tooknugo;mettre du poison sur ;VIA
tooktaago;retranscrire;VIM
toontaago;répondre;VIM
toontaago;etre couché;VIM
toonteeje;tambours royal;NCP
toonteere;tambour royal;NCS
toorgo;faire plus mal;VIA
toosi;pot de vin;U
toostugo;diminiuer le volume;VIA
tootookri;très venimeux;NCS
toxgo;plier;VIA
toraago;implorer;VIM
torra;ennui;PPS
torrugo;ennuyer;VIA
tortaago;reimplorer;VIM
toskaaje;humiliations;PPP
